chrom	start	end	gene	strand	fixed_alu	category	tss	gene_density	recomb_cM_Mb
chr3	20038446	20042446	KAT2B	+	0	HighConfNDD	20040446	4.0	2.470817769006217
chr3	25662909	25666909	TOP2B	-	1	HighConfNDD	25664909	2.0	1.3678665545560875
chr3	39279735	39283735	CX3CR1	-	2	HighConfNDD	39281735	11.0	1.1345053825436224
chr3	41192741	41196741	CTNNB1	+	0	HighConfNDD	41194741	0.0	0.4000651213360129
chr3	47162113	47166113	SETD2	-	2	HighConfNDD	47164113	14.0	0.01616122393755859
chr3	48428086	48432086	PLXNB1	-	0	HighConfNDD	48430086	24.0	0.08484595543109208
chr3	49092363	49096363	QRICH1	-	2	HighConfNDD	49094363	34.0	0.029996302632468996
chr3	49356605	49360605	GPX1	-	2	HighConfNDD	49358605	36.0	0.053954477159123826
chr3	49420685	49424685	AMT	-	3	HighConfNDD	49422685	36.0	0.01821704824365611
chr3	50348826	50352826	NPRL2	-	2	HighConfNDD	50350826	29.0	0.14078909460408795
chr3	52408660	52412660	PHF7	+	1	HighConfNDD	52410660	38.0	0.0775355615736828
chr3	53326963	53330963	CACNA1D	+	4	HighConfNDD	53328963	11.0	0.039366765325326014
chr3	54120552	54124552	CACNA2D3	+	0	HighConfNDD	54122552	4.0	2.753308784246684
chr3	57290685	57294685	ASB14	-	1	HighConfNDD	57292685	10.0	0.12060983469311282
chr3	61249459	61253459	FHIT	-	0	HighConfNDD	61251459	1.0	1.5042168590986194
chr3	62372324	62376324	FEZF2	-	0	HighConfNDD	62374324	1.0	3.949245008058284
chr3	62873416	62877416	CADPS	-	0	HighConfNDD	62875416	1.0	2.330102349066152
chr3	64022010	64026010	PSMD6	-	3	HighConfNDD	64024010	5.0	0.3230510612563364
chr3	64443476	64447476	PRICKLE2	-	1	HighConfNDD	64445476	2.0	4.348239790823669
chr3	71581978	71585978	FOXP1	-	0	HighConfNDD	71583978	4.0	1.9840242978570188
chr3	74612659	74616659	CNTN3	-	2	HighConfNDD	74614659	0.0	1.0864530124014493
chr3	75904695	75908695	ROBO2	+	0	HighConfNDD	75906695	2.0	0.7393550116938741
chr3	81759645	81763645	GBE1	-	0	HighConfNDD	81761645	0.0	0.05813902287542305
chr3	84956989	84960989	CADM2	+	0	HighConfNDD	84958989	0.0	0.2135429298904512
chr3	114197407	114201407	DRD3	-	4	HighConfNDD	114199407	8.0	1.6438333737862365
chr3	115145292	115149292	ZBTB20	-	1	HighConfNDD	115147292	1.0	0.03137483802461816
chr3	121591379	121595379	FBXO40	+	3	HighConfNDD	121593379	9.0	2.472743940409714
chr3	123447090	123451090	ADCY5	-	0	HighConfNDD	123449090	5.0	3.5826600996793445
chr3	129120801	129124801	RAB43	-	2	HighConfNDD	129122801	18.0	0.047902411100153586
chr3	129159036	129163036	ISY1-RAB43	-	1	HighConfNDD	129161036	18.0	0.017323849818637882
chr3	129438179	129442179	MBD4	-	1	HighConfNDD	129440179	16.0	0.2179597313519821
chr3	132652446	132656446	UBA5	+	0	HighConfNDD	132654446	8.0	0.07661280233094203
chr3	136248340	136252340	PCCB	+	3	HighConfNDD	136250340	2.0	0.05423202336828581
chr3	143846485	143850485	SLC9A9	-	1	HighConfNDD	143848485	1.0	1.268701544039459
chr3	143969823	143973823	DIPK2A	+	0	HighConfNDD	143971823	1.0	0.1391217004407963
chr3	151083286	151087286	MED12L	+	1	HighConfNDD	151085286	13.0	1.6798751467058537
chr3	167733243	167737243	SERPINI1	+	0	HighConfNDD	167735243	5.0	0.2383186558566308
chr3	173394284	173398284	NLGN1	+	0	HighConfNDD	173396284	1.0	2.5316482798919537
chr3	174436573	174440573	NAALADL2	+	0	HighConfNDD	174438573	0.0	0.3427661786483327
chr3	177226000	177230000	TBL1XR1	-	5	HighConfNDD	177228000	0.0	3.0501734212822385
chr3	183695797	183699797	YEATS2	+	4	HighConfNDD	183697797	15.0	0.4167389938399424
chr3	184153377	184157377	DVL3	+	2	HighConfNDD	184155377	25.0	0.5947528165410176
chr3	184172689	184176689	AP2M1	+	1	HighConfNDD	184174689	25.0	1.1186578705891748
chr3	195441044	195445044	ACAP2	-	2	HighConfNDD	195443044	7.0	0.9583912283139284
chr3	195809973	195813973	MUC4	-	3	HighConfNDD	195811973	10.0	0.9422955674941136
chr3	196336373	196340373	TM4SF19-DYNLT2B	-	5	HighConfNDD	196338373	18.0	0.23963122882690868
chr3	196336503	196340503	TM4SF19	-	4	HighConfNDD	196338503	18.0	0.2393301673836845
chr3	196737857	196741857	PAK2	+	1	HighConfNDD	196739857	18.0	1.130455678480189
chr3	197297330	197301330	DLG1	-	1	HighConfNDD	197299330	9.0	2.086125163938277
chr4	1869393	1873393	NSD2	+	2	HighConfNDD	1871393	14.0	0.5332750280212251
chr4	2961571	2965571	GRK4	+	1	HighConfNDD	2963571	12.0	0.3411257997532724
chr4	6779375	6783375	KIAA0232	+	0	HighConfNDD	6781375	12.0	4.75944587502255
chr4	8590660	8594660	CPZ	+	0	HighConfNDD	8592660	7.0	5.400043410153117
chr4	15701065	15705065	BST1	+	2	HighConfNDD	15703065	8.0	0.6516196803541874
chr4	15776275	15780275	CD38	+	0	HighConfNDD	15778275	9.0	0.6863995921335686
chr4	46991581	46995581	GABRA4	-	1	HighConfNDD	46993581	4.0	0.5551519758152779
chr4	53364066	53368066	SCFD2	-	1	HighConfNDD	53366066	3.0	0.15305058177304431
chr4	55946871	55950871	CEP135	+	2	HighConfNDD	55948871	9.0	0.38815741901942147
chr4	73256798	73260798	ANKRD17	-	1	HighConfNDD	73258798	6.0	0.1618692758991358
chr4	75722589	75726589	G3BP2	-	2	HighConfNDD	75724589	14.0	0.17416475406676568
chr4	76232536	76236536	SCARB2	-	2	HighConfNDD	76234536	13.0	2.0539589670327985
chr4	82372503	82376503	HNRNPD	-	2	HighConfNDD	82374503	5.0	0.7497886461371195
chr4	84964690	84968690	WDFY3	-	1	HighConfNDD	84966690	2.0	0.03123958443296715
chr4	87529061	87533061	SPARCL1	-	0	HighConfNDD	87531061	11.0	1.3625608002050171
chr4	90125394	90129394	CCSER1	+	0	HighConfNDD	90127394	2.0	0.09438586706195906
chr4	92301966	92305966	GRID2	+	0	HighConfNDD	92303966	0.0	0.5777673019785823
chr4	98927133	98931133	EIF4E	-	2	HighConfNDD	98929133	8.0	0.19384640465659686
chr4	99814827	99818827	DAPP1	+	2	HighConfNDD	99816827	11.0	0.8343578778075766
chr4	101346278	101350278	PPP3CA	-	0	HighConfNDD	101348278	2.0	0.10452736196356227
chr4	105143875	105147875	TET2	+	1	HighConfNDD	105145875	2.0	0.5832275944602827
chr4	106314683	106318683	TBCK	-	1	HighConfNDD	106316683	4.0	0.08007364901573055
chr4	112816032	112820032	ANK2	+	1	HighConfNDD	112818032	3.0	0.6803790169411172
chr4	127964034	127968034	MFSD8	-	2	HighConfNDD	127966034	7.0	0.01382316695554664
chr4	133147294	133151294	PCDH10	+	0	HighConfNDD	133149294	0.0	0.9834104394977317
chr4	139299446	139303446	NAA15	+	0	HighConfNDD	139301446	7.0	0.26497085421993916
chr4	145096288	145100288	ABCE1	+	4	HighConfNDD	145098288	5.0	0.013947015272037788
chr4	145936823	145940823	ZNF827	-	1	HighConfNDD	145938823	5.0	2.887267013098267
chr4	147682163	147686163	PRMT9	-	4	HighConfNDD	147684163	3.0	0.10227919580842126
chr4	148442698	148446698	NR3C2	-	0	HighConfNDD	148444698	0.0	2.8912770694316237
chr4	151013727	151017727	LRBA	-	3	HighConfNDD	151015727	5.0	0.09002120852215967
chr4	154588742	154592742	FGA	-	1	HighConfNDD	154590742	6.0	1.8415878466382196
chr4	155852738	155856738	TDO2	+	0	HighConfNDD	155854738	5.0	2.0115489420700783
chr4	157202182	157206182	GRIA2	+	3	HighConfNDD	157204182	2.0	0.9565412368655757
chr4	186724722	186728722	FAT1	-	1	HighConfNDD	186726722	3.0	2.392504181000845
chr4	189938855	189942855	FRG1	+	0	HighConfNDD	189940855	2.0	0.15904240491920518
chr5	441175	445175	EXOC3	+	2	HighConfNDD	443175	15.0	1.4008707957834332
chr5	1443440	1447440	SLC6A3	-	2	HighConfNDD	1445440	10.0	2.8028162469503948
chr5	9544075	9548075	SEMA5A	-	0	HighConfNDD	9546075	1.0	1.8654837698290194
chr5	11902446	11906446	CTNND2	-	0	HighConfNDD	11904446	0.0	0.9357459198980678
chr5	14141342	14145342	TRIO	+	0	HighConfNDD	14143342	2.0	0.6701151132065064
chr5	24642978	24646978	CDH10	-	0	HighConfNDD	24644978	0.0	1.54688774453291
chr5	27119150	27123150	CDH9	-	4	HighConfNDD	27121150	0.0	1.5525837578467616
chr5	36874769	36878769	NIPBL	+	0	HighConfNDD	36876769	3.0	0.09497139640302521
chr5	37369124	37373124	NUP155	-	3	HighConfNDD	37371124	4.0	0.06565720985271639
chr5	45694498	45698498	HCN1	-	0	HighConfNDD	45696498	0.0	0.06599690768055666
chr5	65623975	65627975	TRIM23	-	3	HighConfNDD	65625975	8.0	0.1176704018094199
chr5	65881128	65885128	ERBIN	+	3	HighConfNDD	65883128	9.0	1.269512179721204
chr5	72105234	72109234	MAP1B	+	0	HighConfNDD	72107234	4.0	1.7721809419475676
chr5	79512134	79516134	HOMER1	-	1	HighConfNDD	79514134	8.0	1.2630335966983353
chr5	88902257	88906257	MEF2C	-	0	HighConfNDD	88904257	0.0	1.0476626251620758
chr5	93581222	93585222	NR2F1	+	0	HighConfNDD	93583222	1.0	0.0686565480177137
chr5	98927007	98931007	CHD1	-	1	HighConfNDD	98929007	1.0	0.23868396292698435
chr5	111221653	111225653	CAMK4	+	0	HighConfNDD	111223653	5.0	0.5076253352102356
chr5	113511694	113515694	YTHDC2	+	0	HighConfNDD	113513694	2.0	0.1246163229893682
chr5	127288796	127292796	MEGF10	+	0	HighConfNDD	127290796	5.0	0.28464010773802784
chr5	132293315	132297315	P4HA2	-	1	HighConfNDD	132295315	18.0	0.3846890048615137
chr5	135032813	135036813	PITX1	-	0	HighConfNDD	135034813	12.0	1.4855628072942295
chr5	138350685	138354685	KDM3B	+	0	HighConfNDD	138352685	16.0	0.08479468526701339
chr5	140105777	140109777	PURA	+	0	HighConfNDD	140107777	15.0	0.4430542641841839
chr5	140784136	140788136	PCDHA1	+	0	HighConfNDD	140786136	50.0	0.10245044505381884
chr5	140792852	140796852	PCDHA2	+	0	HighConfNDD	140794852	50.0	0.10437042448387501
chr5	140799028	140803028	PCDHA3	+	0	HighConfNDD	140801028	50.0	0.20368971568387906
chr5	140805037	140809037	PCDHA4	+	0	HighConfNDD	140807037	50.0	0.3149936992664948
chr5	140819604	140823604	PCDHA5	+	0	HighConfNDD	140821604	51.0	0.3038841236497092
chr5	140825958	140829958	PCDHA6	+	0	HighConfNDD	140827958	51.0	0.30622891696083343
chr5	140832248	140836248	PCDHA7	+	0	HighConfNDD	140834248	52.0	0.30838146325066873
chr5	140839187	140843187	PCDHA8	+	1	HighConfNDD	140841187	53.0	0.2974310906614619
chr5	140845772	140849772	PCDHA9	+	1	HighConfNDD	140847772	53.0	0.29905070704216996
chr5	140853883	140857883	PCDHA10	+	1	HighConfNDD	140855883	55.0	0.3006826107144889
chr5	140866183	140870183	PCDHA11	+	0	HighConfNDD	140868183	56.0	0.29952552529806553
chr5	140873302	140877302	PCDHA12	+	1	HighConfNDD	140875302	58.0	0.30378692366724636
chr5	140880124	140884124	PCDHA13	+	0	HighConfNDD	140882124	58.0	0.2904694658704443
chr5	140924299	140928299	PCDHAC1	+	3	HighConfNDD	140926299	65.0	0.2720344348452386
chr5	140964470	140968470	PCDHAC2	+	0	HighConfNDD	140966470	66.0	0.5026990631017725
chr5	146201605	146205605	RBM27	+	4	HighConfNDD	146203605	9.0	0.8769731559445404
chr5	147508068	147512068	DPYSL3	-	1	HighConfNDD	147510068	6.0	0.6989994755045359
chr5	148824611	148828611	ADRB2	+	1	HighConfNDD	148826611	5.0	4.436513852376152
chr5	150288093	150292093	CAMK2A	-	1	HighConfNDD	150290093	18.0	3.4369765100140626
chr5	153487615	153491615	GRIA1	+	0	HighConfNDD	153489615	0.0	2.1104826983179237
chr5	154188730	154192730	GALNT10	+	1	HighConfNDD	154190730	5.0	0.6436881985734999
chr5	157264079	157268079	CYFIP2	+	1	HighConfNDD	157266079	15.0	0.9411781805843589
chr5	161547044	161551044	GABRB2	-	0	HighConfNDD	161549044	3.0	0.2748906213108171
chr5	161845063	161849063	GABRA1	+	0	HighConfNDD	161847063	3.0	0.3064725926464007
chr5	161998057	162002057	GABRG2	+	2	HighConfNDD	162000057	3.0	0.3115922277476102
chr5	163435569	163439569	CCNG1	+	2	HighConfNDD	163437569	3.0	0.3678328413820964
chr5	163458404	163462404	NUDCD2	-	3	HighConfNDD	163460404	3.0	0.4104096986097261
chr5	170859870	170863870	RANBP17	+	1	HighConfNDD	170861870	3.0	0.6432360810811133
chr5	173886349	173890349	CPEB4	+	0	HighConfNDD	173888349	3.0	0.3391234160875456
chr5	175442182	175446182	DRD1	-	1	HighConfNDD	175444182	3.0	3.591060665405905
chr5	176645387	176649387	TSPAN17	+	0	HighConfNDD	176647387	18.0	1.809772710822699
chr5	177020633	177024633	UIMC1	-	4	HighConfNDD	177022633	25.0	0.051453382584725205
chr5	177129830	177133830	NSD1	+	0	HighConfNDD	177131830	23.0	1.0827791336078008
chr6	11042305	11046305	ELOVL2	-	2	HighConfNDD	11044305	13.0	0.9898209169969618
chr6	15244069	15248069	JARID2	+	0	HighConfNDD	15246069	1.0	0.5058794828897817
chr6	18120677	18124677	NHLRC1	-	3	HighConfNDD	18122677	6.0	1.3311445707915226
chr6	18153329	18157329	KDM1B	+	3	HighConfNDD	18155329	6.0	0.47305820592768555
chr6	24492867	24496867	ALDH5A1	+	1	HighConfNDD	24494867	11.0	0.6013493538279846
chr6	27130795	27134795	H2BC11	-	2	HighConfNDD	27132795	9.0	0.09555331487220542
chr6	29824967	29828967	HLA-G	+	2	HighConfNDD	29826967	25.0	0.6531385532192502
chr6	29939260	29943260	HLA-A	+	2	HighConfNDD	29941260	22.0	1.4066377105200445
chr6	31365067	31369067	HLA-B	-	1	HighConfNDD	31367067	57.0	1.3128997604453474
chr6	32012795	32016795	C4B	+	0	HighConfNDD	32014795	69.0	0.34656598508554737
chr6	32587848	32591848	HLA-DRB1	-	3	HighConfNDD	32589848	35.0	0.5259162739330492
chr6	33073936	33077936	HLA-DPB1	+	0	HighConfNDD	33075936	38.0	1.8132259054495847
chr6	33417661	33421661	SYNGAP1	+	0	HighConfNDD	33419661	33.0	0.0762599378190032
chr6	38701145	38705145	GLO1	-	3	HighConfNDD	38703145	4.0	3.3293535539844754
chr6	40585364	40589364	LRFN2	-	0	HighConfNDD	40587364	4.0	0.6157875477315855
chr6	42982553	42986553	PPP2R5D	+	5	HighConfNDD	42984553	28.0	0.42907743542372145
chr6	43051943	43055943	CUL7	-	3	HighConfNDD	43053943	31.0	0.20129883472719712
chr6	43074307	43078307	PTK7	+	0	HighConfNDD	43076307	32.0	0.21224781996409092
chr6	46650915	46654915	SLC25A27	+	0	HighConfNDD	46652915	9.0	0.3593076855256072
chr6	53792497	53796497	LRRC1	+	0	HighConfNDD	53794497	4.0	0.17547072926063834
chr6	56952830	56956830	DST	-	0	HighConfNDD	56954830	6.0	0.19537369015111494
chr6	57044532	57048532	KIAA1586	+	0	HighConfNDD	57046532	6.0	0.34838614501211396
chr6	62284225	62288225	KHDRBS2	-	0	HighConfNDD	62286225	0.0	0.09912972997796032
chr6	63633802	63637802	PHF3	+	0	HighConfNDD	63635802	4.0	0.11769110494185497
chr6	71884550	71888550	RIMS1	+	0	HighConfNDD	71886550	0.0	0.5498174821325108
chr6	77461491	77465491	HTR1B	-	0	HighConfNDD	77463491	1.0	1.0727777521343285
chr6	79076287	79080287	PHIP	-	0	HighConfNDD	79078287	4.0	0.10096769577955911
chr6	85642063	85646063	SYNCRIP	-	2	HighConfNDD	85644063	3.0	0.06407704063803976
chr6	87149803	87153803	ZNF292	+	2	HighConfNDD	87151803	10.0	0.3166491963089868
chr6	88164347	88168347	CNR1	-	0	HighConfNDD	88166347	2.0	3.5212717991413456
chr6	99519728	99523728	USP45	-	6	HighConfNDD	99521728	7.0	0.2294108355580704
chr6	100960701	100964701	GRIK2	+	0	HighConfNDD	100962701	2.0	0.16837057091223073
chr6	114341023	114345023	HS3ST5	-	0	HighConfNDD	114343023	2.0	0.1124554951530854
chr6	116058891	116062891	FRK	-	1	HighConfNDD	116060891	10.0	0.12515513767539233
chr6	117673469	117677469	NUS1	+	2	HighConfNDD	117675469	6.0	0.3195063233459905
chr6	118546296	118550296	PLN	+	0	HighConfNDD	118548296	3.0	0.046821016770337565
chr6	131626242	131630242	MED23	-	0	HighConfNDD	131628242	7.0	0.9395531332145879
chr6	136820564	136824564	PEX7	+	4	HighConfNDD	136822564	6.0	0.16911981063003623
chr6	142954698	142958698	HIVEP2	-	2	HighConfNDD	142956698	3.0	1.6642465567056774
chr6	145734023	145738023	EPM2A	-	1	HighConfNDD	145736023	3.0	0.07314808152415253
chr6	147202180	147206180	STXBP5	+	0	HighConfNDD	147204180	1.0	1.1025691909256352
chr6	148270304	148274304	SASH1	+	3	HighConfNDD	148272304	1.0	1.8290448652064129
chr6	152635801	152639801	SYNE1	-	3	HighConfNDD	152637801	5.0	0.6956786606284027
chr6	156774020	156778020	ARID1B	+	0	HighConfNDD	156776020	0.0	1.1301514376540922
chr6	162725775	162729775	PRKN	-	1	HighConfNDD	162727775	1.0	0.1572477107413306
chr6	166904451	166908451	RPS6KA2	-	0	HighConfNDD	166906451	9.0	3.468116624258073
chr6	170304565	170308565	DLL1	-	0	HighConfNDD	170306565	4.0	1.2390503165190125
chr7	725650	729650	PRKAR1B	-	1	HighConfNDD	727650	12.0	1.5955679359819652
chr7	2553694	2557694	BRAT1	-	6	HighConfNDD	2555694	14.0	2.8156540959091814
chr7	3042228	3046228	CARD11	-	2	HighConfNDD	3044228	6.0	4.342843331469091
chr7	5272369	5276369	SLC29A4	+	3	HighConfNDD	5274369	12.0	3.7860255407625587
chr7	5561902	5565902	ACTB	-	8	HighConfNDD	5563902	14.0	3.561412941844555
chr7	6549461	6553461	GRID2IP	-	8	HighConfNDD	6551461	15.0	1.1412937127590972
chr7	7533873	7537873	COL28A1	-	0	HighConfNDD	7535873	5.0	0.6105716770544767
chr7	8260687	8264687	ICA1	-	0	HighConfNDD	8262687	2.0	6.045511972315136
chr7	8431609	8435609	NXPH1	+	0	HighConfNDD	8433609	2.0	1.508152406590142
chr7	15560015	15564015	AGMO	-	1	HighConfNDD	15562015	1.0	2.086822809793567
chr7	26150198	26154198	NFE2L3	+	0	HighConfNDD	26152198	3.0	0.8039456893227026
chr7	32426131	32430131	PDE1C	-	1	HighConfNDD	32428131	3.0	2.9035393587243163
chr7	48169458	48173458	ABCA13	+	1	HighConfNDD	48171458	5.0	0.15902391789708759
chr7	50563405	50567405	DDC	-	1	HighConfNDD	50565405	5.0	0.44745889405689354
chr7	55885456	55889456	ZNF713	+	7	HighConfNDD	55887456	11.0	0.2209554022680038
chr7	66626881	66630881	KCTD7	+	7	HighConfNDD	66628881	6.0	0.027917601417470905
chr7	69596296	69600296	AUTS2	+	0	HighConfNDD	69598296	0.0	0.05672864971941749
chr7	73717672	73721672	STX1A	-	4	HighConfNDD	73719672	20.0	2.305317308309185
chr7	74648231	74652231	GTF2I	+	5	HighConfNDD	74650231	12.0	1.1810816671895452
chr7	79766028	79770028	GNAI1	+	0	HighConfNDD	79768028	1.0	0.47614993499124125
chr7	82441956	82445956	CACNA2D1	-	0	HighConfNDD	82443956	0.0	1.4574667362657578
chr7	83160930	83164930	PCLO	-	0	HighConfNDD	83162930	1.0	1.5364265696787527
chr7	87932143	87936143	ADAM22	+	1	HighConfNDD	87934143	7.0	0.8422133705998647
chr7	91938840	91942840	AKAP9	+	0	HighConfNDD	91940840	8.0	0.05365190931215125
chr7	95322532	95326532	PON1	-	0	HighConfNDD	95324532	6.0	0.7784220294681177
chr7	97003553	97007553	DLX6	+	0	HighConfNDD	97005553	3.0	2.150717217917588
chr7	98875933	98879933	TRRAP	+	3	HighConfNDD	98877933	8.0	1.2833413014038797
chr7	99142108	99146108	SMURF1	-	2	HighConfNDD	99144108	20.0	2.2816262145657618
chr7	99974042	99978042	AZGP1	-	5	HighConfNDD	99976042	39.0	0.3222068637835207
chr7	100117841	100121841	TAF6	-	7	HighConfNDD	100119841	41.0	0.11244514735892608
chr7	100692250	100696250	GIGYF1	-	5	HighConfNDD	100694250	39.0	0.2303576047214051
chr7	100894974	100898974	ACHE	-	3	HighConfNDD	100896974	41.0	0.886148979717376
chr7	100967565	100971565	MUC12	+	4	HighConfNDD	100969565	36.0	1.2755934536224345
chr7	101125104	101129104	SERPINE1	+	3	HighConfNDD	101127104	27.0	0.7749130865681764
chr7	101813904	101817904	CUX1	+	0	HighConfNDD	101815904	4.0	1.0631992267509816
chr7	103987658	103991658	RELN	-	0	HighConfNDD	103989658	2.0	2.299363349379746
chr7	104938943	104942943	KMT2E	+	3	HighConfNDD	104940943	3.0	0.3829356052646915
chr7	106863278	106867278	PIK3CG	+	0	HighConfNDD	106865278	3.0	4.820850911439578
chr7	108001213	108005213	LAMB1	-	1	HighConfNDD	108003213	10.0	4.373729520204961
chr7	108454717	108458717	NRCAM	-	0	HighConfNDD	108456717	5.0	0.3976068141463429
chr7	111560517	111564517	IMMP2L	-	1	HighConfNDD	111562517	1.0	0.10493101035251584
chr7	112204407	112208407	DOCK4	-	1	HighConfNDD	112206407	5.0	0.8294993041172916
chr7	113085778	113089778	GPR85	-	0	HighConfNDD	113087778	3.0	1.8079029872744456
chr7	114084327	114088327	FOXP2	+	0	HighConfNDD	114086327	1.0	2.1979648994062018
chr7	116670196	116674196	MET	+	0	HighConfNDD	116672196	6.0	1.6981260222607375
chr7	116951238	116955238	ST7	+	0	HighConfNDD	116953238	7.0	0.7711041032740695
chr7	117872139	117876139	CTTNBP2	-	0	HighConfNDD	117874139	3.0	1.3775129690006338
chr7	120271175	120275175	KCND2	+	0	HighConfNDD	120273175	0.0	0.030908492005607968
chr7	122884759	122888759	CADPS2	-	0	HighConfNDD	122886759	4.0	0.722198512557668
chr7	123555904	123559904	NDUFA5	-	1	HighConfNDD	123557904	8.0	0.11762274648788207
chr7	124763792	124767792	GPR37	-	1	HighConfNDD	124765792	2.0	0.42561567050825033
chr7	124927983	124931983	POT1	-	2	HighConfNDD	124929983	2.0	0.040431668643634566
chr7	127650194	127654194	SND1	+	2	HighConfNDD	127652194	7.0	0.14327032993293187
chr7	128030107	128034107	LRRC4	-	0	HighConfNDD	128032107	11.0	0.09930762999516674
chr7	128239278	128243278	LEP	+	1	HighConfNDD	128241278	9.0	2.9752421601764922
chr7	129950960	129954960	UBE2H	-	2	HighConfNDD	129952960	11.0	1.7822399066088224
chr7	130440433	130444433	CEP41	-	2	HighConfNDD	130442433	13.0	0.8288666195750238
chr7	132646688	132650688	PLXNA4	-	0	HighConfNDD	132648688	1.0	1.6599805438070803
chr7	139228356	139232356	UBN2	+	1	HighConfNDD	139230356	11.0	0.6736707117252649
chr7	140922929	140926929	BRAF	-	1	HighConfNDD	140924929	6.0	0.11968562898601931
chr7	143406856	143410856	EPHA1	-	1	HighConfNDD	143408856	22.0	2.312923888437979
chr7	146114002	146118002	CNTNAP2	+	0	HighConfNDD	146116002	0.0	0.8400855498501869
chr7	152434644	152438644	KMT2C	-	0	HighConfNDD	152436644	4.0	0.47118397336646467
chr7	153746133	153750133	DPP6	+	1	HighConfNDD	153748133	0.0	0.46770285224596364
chr7	155456129	155460129	EN2	+	0	HighConfNDD	155458129	7.0	4.79556321783889
chr7	157136926	157140926	UBE3C	+	3	HighConfNDD	157138926	5.0	0.7740438646465009
chr8	735628	739628	DLGAP2	+	0	HighConfNDD	737628	3.0	1.1505481395801853
chr8	1753778	1757778	CLN8	+	4	HighConfNDD	1755778	4.0	2.6479674932417385
chr8	1821926	1825926	ARHGEF10	+	0	HighConfNDD	1823926	4.0	1.514564367688025
chr8	4992972	4996972	CSMD1	-	0	HighConfNDD	4994972	0.0	2.6739002066510054
chr8	6404592	6408592	MCPH1	+	3	HighConfNDD	6406592	4.0	1.7187422886762427
chr8	16565490	16569490	MSR1	-	0	HighConfNDD	16567490	2.0	1.2137468155236775
chr8	17920842	17924842	PCM1	+	0	HighConfNDD	17922842	7.0	0.569659039171313
chr8	19082730	19086730	PSD3	-	1	HighConfNDD	19084730	1.0	4.99726963126804
chr8	22691480	22695480	EGR3	-	0	HighConfNDD	22693480	17.0	3.586714968152833
chr8	22985417	22989417	RHOBTB2	+	3	HighConfNDD	22987417	17.0	2.760635149041306
chr8	26512031	26516031	DPYSL2	+	0	HighConfNDD	26514031	5.0	0.5610791860127051
chr8	29261124	29265124	KIF13B	-	3	HighConfNDD	29263124	3.0	0.4958721858996995
chr8	38223218	38227218	DDHD2	+	3	HighConfNDD	38225218	17.0	0.055692570614809256
chr8	38466834	38470834	FGFR1	-	2	HighConfNDD	38468834	11.0	1.8427247698684823
chr8	42049994	42053994	KAT6A	-	2	HighConfNDD	42051994	11.0	0.44533681638711187
chr8	42695366	42699366	CHRNB3	+	1	HighConfNDD	42697366	15.0	0.6283656453076958
chr8	47958178	47962178	PRKDC	-	3	HighConfNDD	47960178	3.0	0.029326189415570525
chr8	47958185	47962185	MCM4	+	3	HighConfNDD	47960185	3.0	0.02932639572009066
chr8	60514936	60518936	RAB2A	+	2	HighConfNDD	60516936	2.0	0.0433362293122741
chr8	60676740	60680740	CHD7	+	0	HighConfNDD	60678740	3.0	0.7552299486042102
chr8	81278536	81282536	FABP5	+	0	HighConfNDD	81280536	10.0	1.8321834650105018
chr8	86741675	86745675	CNGB3	-	1	HighConfNDD	86743675	5.0	0.5772415661905939
chr8	92101385	92105385	RUNX1T1	-	0	HighConfNDD	92103385	0.0	0.14178568281977277
chr8	96491813	96495813	SDC2	+	1	HighConfNDD	96493813	5.0	3.391228444896086
chr8	99011266	99015266	VPS13B	+	3	HighConfNDD	99013266	2.0	0.003775706646820254
chr8	102410759	102414759	UBR5	-	3	HighConfNDD	102412759	6.0	0.1692138264442633
chr8	118109826	118113826	EXT1	-	1	HighConfNDD	118111826	0.0	1.6720837416835366
chr8	123039968	123043968	TBC1D31	+	2	HighConfNDD	123041968	9.0	1.7815730826723097
chr8	131902093	131906093	EFR3A	+	1	HighConfNDD	131904093	3.0	0.807996474775905
chr8	132479095	132483095	KCNQ3	-	0	HighConfNDD	132481095	7.0	3.3090364337644473
chr8	140456579	140460579	TRAPPC9	-	3	HighConfNDD	140458579	2.0	2.564548961952653
chr8	140633633	140637633	AGO2	-	0	HighConfNDD	140635633	4.0	0.3136682494471188
chr8	142877846	142881846	CYP11B1	-	0	HighConfNDD	142879846	26.0	0.3601783409973791
chr8	143876467	143880467	EPPK1	-	0	HighConfNDD	143878467	42.0	3.63652884228145
chr8	144796876	144800876	ZNF517	+	4	HighConfNDD	144798876	32.0	0.2603681467499541
chr9	212854	216854	DOCK8	+	2	HighConfNDD	214854	4.0	0.5101120807761972
chr9	468291	472291	KANK1	+	2	HighConfNDD	470291	5.0	2.575788969152478
chr9	1978290	1982290	SMARCA2	+	0	HighConfNDD	1980290	0.0	4.053605493950068
chr9	3524004	3528004	RFX3	-	0	HighConfNDD	3526004	0.0	2.0862765944924533
chr9	4488468	4492468	SLC1A1	+	3	HighConfNDD	4490468	7.0	3.7858981675613634
chr9	5888889	5892889	MLANA	+	1	HighConfNDD	5890889	9.0	0.9667543148163027
chr9	6718863	6722863	KDM4C	+	11	HighConfNDD	6720863	3.0	0.957171241291146
chr9	10611002	10615002	PTPRD	-	0	HighConfNDD	10613002	0.0	1.2931744618473218
