ndd_gene	control_gene	ndd_chrom	ndd_start	ndd_end	control_chrom	control_start	control_end	ndd_loeuf	control_loeuf	ndd_brain_log	control_brain_log	ndd_gc	control_gc
FBXO40	TEKT1	chr3	121591379	121595379	chr17	6829761	6833761	1.163	1.183	0.3562897974066584	0.35724666911940195	0.42625	0.42575
ADCY5	BRD1	chr3	123447090	123451090	chr22	49825873	49829873	0.326	0.337	1.870419708159989	1.8128959845161345	0.6845	0.6755
RAB43	TACC3	chr3	129120801	129124801	chr4	1710858	1714858	0.728	0.764	0.8355459939382218	0.8672936174116109	0.60125	0.60075
MBD4	RAMP2	chr3	129438179	129442179	chr17	42756447	42760447	1.023	1.041	1.6043988722200189	1.5907749808190974	0.46725	0.4645
UBA5	KRT10	chr3	132652446	132656446	chr17	40820614	40824614	0.838	0.881	1.5108237270855656	1.4865679010407962	0.3895	0.37925
PCCB	FECH	chr3	136248340	136252340	chr18	57584732	57588732	0.843	0.859	1.1621998524122619	1.140215691499187	0.489	0.48975
SLC9A9	ZNF317	chr3	143846485	143850485	chr19	9138397	9142397	1.011	0.983	1.4027392733509851	1.371697594505485	0.375	0.38625
MED12L	NPAS4	chr3	151083286	151087286	chr11	66419035	66423035	0.226	0.235	0.5153187043385286	0.438278052795468	0.58925	0.5905
SERPINI1	RPS20	chr3	167733243	167737243	chr8	56072510	56076510	0.459	0.481	2.4338242173056632	2.4751726983087603	0.46475	0.458
NAALADL2	CLRN3	chr3	174436573	174440573	chr10	127890941	127894941	1.137	1.166	0.21248857540737784	0.18070894130052365	0.36225	0.36825
TBL1XR1	COPB2	chr3	177226000	177230000	chr3	139387736	139391736	0.174	0.177	1.548144866684399	1.595670345615626	0.4485	0.4545
YEATS2	ABHD2	chr3	183695797	183699797	chr15	89085459	89089459	0.552	0.57	1.6051918777485574	1.5706398281111609	0.52025	0.5175
DVL3	NCAN	chr3	184153377	184157377	chr19	19209958	19213958	0.536	0.53	1.7535838248436983	1.7971705583482716	0.571	0.5675
AP2M1	FAU	chr3	184172689	184176689	chr11	65120177	65124177	0.182	0.196	2.5862113535063185	2.5075941371607713	0.506	0.514
ACAP2	NOS1AP	chr3	195441044	195445044	chr1	162067691	162071691	0.47	0.495	1.355006844736357	1.35507395855555	0.50975	0.50725
MUC4	CBX2	chr3	195809973	195813973	chr17	79776148	79780148	0.953	0.946	0.15043743087645509	0.1703154120010723	0.57975	0.5785
TM4SF19	SLC22A2	chr3	196336503	196340503	chr6	160275638	160279638	1.102	1.117	0.028514969685830154	0.018976961391443847	0.4865	0.486
PAK2	PLCL1	chr3	196737857	196741857	chr2	197802593	197806593	0.662	0.663	1.5247335591865165	1.5255203259415107	0.48825	0.48475
DLG1	CPSF4	chr3	197297330	197301330	chr7	99436922	99440922	0.491	0.48	1.7111506531590666	1.686718473606027	0.5435	0.542
NSD2	RFX4	chr4	1869393	1873393	chr12	106581004	106585004	0.139	0.178	1.3117178448980278	1.2201656413263786	0.618	0.60275
GRK4	PHYHD1	chr4	2961571	2965571	chr9	128918966	128922966	1.262	1.209	1.2310922223989902	1.283961216489511	0.55675	0.55725
KIAA0232	BCL9L	chr4	6779375	6783375	chr11	118923926	118927926	0.3	0.3	1.5627245646108139	1.6032981354628573	0.56175	0.569
CPZ	CCDC166	chr4	8590660	8594660	chr8	143706109	143710109	1.966	1.939	0.04522241427774997	0.07399056948638283	0.614	0.6125
BST1	PRM1	chr4	15701065	15705065	chr16	11279330	11283330	1.638	1.638	0.3125602641063128	0.30472097014445537	0.5015	0.50025
CD38	TIMM23B	chr4	15776275	15780275	chr10	49940049	49944049	1.292	1.259	0.918323963238652	0.8987904305303164	0.46775	0.47275
GABRA4	LARP4	chr4	46991581	46995581	chr12	50390383	50394383	0.385	0.372	1.0690387649860706	1.095754992316748	0.48425	0.48725
SCFD2	LUZP2	chr4	53364066	53368066	chr11	24494970	24498970	1.182	1.227	1.0087827925102815	1.0201154720394165	0.4295	0.425
CEP135	TYW1B	chr4	55946871	55950871	chr7	72826200	72830200	0.989	1.015	0.5611729647521881	0.5428764442311697	0.46675	0.46575
ANKRD17	RPRD2	chr4	73256798	73260798	chr1	150361091	150365091	0.118	0.145	1.5169661495313544	1.4608001530805714	0.497	0.497
G3BP2	MRPS24	chr4	75722589	75726589	chr7	43867893	43871893	1.031	1.056	1.9464581603732662	1.94818353118495	0.475	0.4735
SCARB2	CREBZF	chr4	76232536	76236536	chr11	85680908	85684908	0.683	0.738	2.0818044087857337	1.974767680620995	0.41575	0.408
HNRNPD	CCT6A	chr4	82372503	82376503	chr7	56049685	56053685	0.222	0.234	2.0780252093027016	2.100849383687558	0.51425	0.51475
WDFY3	IRF6	chr4	84964690	84968690	chr1	209804175	209808175	0.2	0.214	1.415612626412285	1.3836969058764363	0.49175	0.49575
SPARCL1	MOBP	chr4	87529061	87533061	chr3	39465198	39469198	0.932	0.649	3.1254487330602623	3.1432646820112207	0.39425	0.38775
CCSER1	COL4A4	chr4	90125394	90129394	chr2	227162453	227166453	0.59	0.607	0.3023850497489473	0.33641770331651255	0.50025	0.4995
GRID2	MAML2	chr4	92301966	92305966	chr11	96341195	96345195	0.332	0.308	1.0587675553704192	1.083004256993419	0.47225	0.47125
EIF4E	GABPA	chr4	98927133	98931133	chr21	25732570	25736570	0.09	0.083	1.2022403115194455	1.2429462167161132	0.5	0.511
DAPP1	ARMC3	chr4	99814827	99818827	chr10	22926024	22930024	0.905	0.91	0.3296419107302111	0.31433710040453156	0.4445	0.443
PPP3CA	MYRF	chr4	101346278	101350278	chr11	61750636	61754636	0.243	0.215	2.265176439912339	2.3127441935815716	0.57975	0.5875
TET2	ZNF345	chr4	105143875	105147875	chr19	36848361	36852361	1.997	1.97	0.5715609369264899	0.617006635198216	0.4885	0.48625
TBCK	NDUFAF5	chr4	106314683	106318683	chr20	13783007	13787007	1.062	1.068	1.0893893012283662	1.1207088047588294	0.447	0.44325
ANK2	API5	chr4	112816032	112820032	chr11	43309963	43313963	0.271	0.211	1.990111878839075	1.90009936777057	0.40675	0.398
MFSD8	SMAD9	chr4	127964034	127968034	chr13	36918887	36922887	1.005	1.018	1.3364557311159648	1.3163121915619789	0.53575	0.53225
PCDH10	DICER1	chr4	133147294	133151294	chr14	95156010	95160010	0.297	0.275	1.356851570491037	1.3956303801762246	0.53525	0.53775
NAA15	MOV10	chr4	139299446	139303446	chr1	112671141	112675141	0.438	0.435	1.0291340880653164	1.03289262647518	0.44925	0.44725
ABCE1	CISD2	chr4	145096288	145100288	chr4	102866974	102870974	0.466	0.437	1.4767997578345302	1.464230145203045	0.44075	0.442
ZNF827	RARA	chr4	145936823	145940823	chr17	40307180	40311180	0.197	0.254	1.3225521262675868	1.2977233155204977	0.5225	0.518
PRMT9	ATP13A4	chr4	147682163	147686163	chr3	193591111	193595111	0.91	0.896	0.9440081436847606	0.9755512805035992	0.4525	0.455
NR3C2	ATXN1	chr4	148442698	148446698	chr6	16759491	16763491	0.268	0.264	1.1128160656115806	1.127464400844717	0.61075	0.60225
LRBA	RPS6KA5	chr4	151013727	151017727	chr14	91058641	91062641	0.515	0.486	0.935747522404709	0.959321922747789	0.5055	0.50825
FGA	XCL1	chr4	154588742	154592742	chr1	168574605	168578605	1.502	1.485	0.08806340476659114	0.1081427004572502	0.3825	0.38325
TDO2	OTOGL	chr4	155852738	155856738	chr12	80097537	80101537	1.104	1.069	0.3537027801236348	0.3700854311922346	0.359	0.36325
GRIA2	ZRANB1	chr4	157202182	157206182	chr10	124940123	124944123	0.15	0.289	1.877208887047468	1.702837066345069	0.375	0.38375
FAT1	RGS7BP	chr4	186724722	186728722	chr5	64504015	64508015	0.571	0.595	1.1048284036536553	1.0859039382493094	0.50875	0.5085
FRG1	FUT9	chr4	189938855	189942855	chr6	96013974	96017974	0.766	0.764	1.4734563129014626	1.479676062868145	0.46975	0.4705
EXOC3	NDST2	chr5	441175	445175	chr10	73809798	73813798	0.475	0.479	1.6026437249332126	1.619714053212686	0.566	0.5685
SLC6A3	CDK13	chr5	1443440	1447440	chr7	39948121	39952121	0.393	0.434	1.5523031093383541	1.4677057553740362	0.63025	0.62525
SEMA5A	EFNA5	chr5	9544075	9548075	chr5	107668937	107672937	0.495	0.476	0.9921110455316513	1.043696222275879	0.60575	0.612
CTNND2	ZER1	chr5	11902446	11906446	chr9	128770414	128774414	0.228	0.241	2.0009812647255867	1.9798136958253925	0.549	0.54675
TRIO	TFDP1	chr5	14141342	14145342	chr13	113582721	113586721	0.217	0.245	1.6733960271463066	1.6929182680875474	0.624	0.62025
CDH10	ITFG1	chr5	24642978	24646978	chr16	47462149	47466149	0.655	0.619	1.6162580496390317	1.5841445733536619	0.3525	0.3675
CDH9	MAP3K20	chr5	27119150	27123150	chr2	173073435	173077435	0.578	0.569	0.8805077641670541	0.8538046434595653	0.4885	0.49075
NIPBL	ZNF609	chr5	36874769	36878769	chr15	64458578	64462578	0.057	0.166	1.2824952268897096	1.2171758807094926	0.5105	0.51375
NUP155	POLR1A	chr5	37369124	37373124	chr2	86104155	86108155	0.473	0.479	0.9581097627570375	0.9879574841395952	0.44075	0.44175
HCN1	HOXA2	chr5	45694498	45698498	chr7	27100686	27104686	0.329	0.334	1.002760702736303	0.9737691193293954	0.5145	0.5195
TRIM23	DHX40	chr5	65623975	65627975	chr17	59563558	59567558	0.524	0.569	1.48139102609237	1.4901509880272803	0.4385	0.4415
ERBIN	DDX18	chr5	65881128	65885128	chr2	117812691	117816691	0.526	0.496	1.6306241277136637	1.5706678399564404	0.39275	0.397
MAP1B	MAPRE3	chr5	72105234	72109234	chr2	26968637	26972637	0.105	0.163	2.420966823558737	2.3590724264408753	0.53475	0.52825
HOMER1	ACTL6A	chr5	79512134	79516134	chr3	179560886	179564886	0.185	0.186	1.2155133104786822	1.2574961808797847	0.49125	0.49075
MEF2C	UBE2E3	chr5	88902257	88906257	chr2	180965248	180969248	0.212	0.415	1.7924946471139862	1.818656014899377	0.3155	0.3405
NR2F1	SLC2A1	chr5	93581222	93585222	chr1	42956893	42960893	0.133	0.139	1.9240258736949765	1.9169658510217593	0.57825	0.5925
CHD1	CCDC117	chr5	98927007	98931007	chr22	28770674	28774674	0.207	0.254	1.3280960980924943	1.3355301099347336	0.522	0.52
CAMK4	NDUFA10	chr5	111221653	111225653	chr2	240023743	240027743	1.098	1.12	2.0528362471803	1.984411185926761	0.489	0.493
YTHDC2	FIP1L1	chr5	113511694	113515694	chr4	53375569	53379569	0.327	0.378	1.5415954672879995	1.5287727681989127	0.44125	0.44025
MEGF10	UNC13B	chr5	127288796	127292796	chr9	35159992	35163992	0.707	0.734	1.2342134748385951	1.2354678434492694	0.46275	0.46275
P4HA2	WFIKKN2	chr5	132293315	132297315	chr17	50832650	50836650	0.841	0.84	0.6565811219810457	0.6169311002493649	0.5945	0.5945
PITX1	CTCFL	chr5	135032813	135036813	chr20	57523652	57527652	0.575	0.669	0.08069501635821473	0.008682126467676448	0.63675	0.631
KDM3B	AP1G1	chr5	138350685	138354685	chr16	71807201	71811201	0.117	0.113	1.6394177537394814	1.601947060080969	0.5105	0.50125
PURA	KCNV1	chr5	140105777	140109777	chr8	109973771	109977771	0.138	0.177	1.2023575186005455	1.23063537250886	0.50575	0.50075
PCDHA1	COL19A1	chr5	140784136	140788136	chr6	69864556	69868556	0.849	0.876	0.6015211320085356	0.5957992404101253	0.4375	0.43875
PCDHA2	ALG14	chr5	140792852	140796852	chr1	95070951	95074951	1.054	1.055	0.614584031628768	0.5770641884720563	0.4415	0.44125
PCDHA3	RAD51AP1	chr5	140799028	140803028	chr12	4536798	4540798	0.813	0.801	0.44854710093029604	0.4758614228317165	0.40675	0.4035
PCDHA4	SLC5A4	chr5	140805037	140809037	chr22	32253347	32257347	0.976	0.957	0.2048855657929903	0.19447188162432422	0.44225	0.44925
PCDHA5	RDH12	chr5	140819604	140823604	chr14	67699886	67703886	0.868	0.862	0.5104458081625497	0.49054557462931214	0.39875	0.40375
PCDHA6	PUS10	chr5	140825958	140829958	chr2	61016259	61020259	1.09	1.073	0.5511449087563219	0.5325709431751878	0.431	0.42675
PCDHA7	PCDHGB4	chr5	140832248	140836248	chr5	141385698	141389698	0.857	0.835	0.402966001582279	0.3603794320159663	0.449	0.4495
PCDHA8	PCDHGB6	chr5	140839187	140843187	chr5	141406021	141410021	1.036	1.022	0.43699385115611894	0.45222511220845674	0.4445	0.44225
PCDHA9	UTS2	chr5	140845772	140849772	chr1	7851512	7855512	1.229	1.299	0.24508630713634774	0.21540779974309532	0.41025	0.409
PCDHA10	CCDC138	chr5	140853883	140857883	chr2	108784757	108788757	0.912	0.915	0.5845652731588846	0.6169562800253952	0.4345	0.439
PCDHA11	ABCA9	chr5	140866183	140870183	chr17	69058949	69062949	1.031	1.006	0.6857005458319209	0.828384025495398	0.36125	0.36875
PCDHA12	CCDC68	chr5	140873302	140877302	chr18	54957461	54961461	0.928	0.923	0.5399763888088387	0.5367667024827062	0.43675	0.4385
PCDHA13	IL12RB2	chr5	140880124	140884124	chr1	67305364	67309364	1.001	1.013	0.4154391294921385	0.39400139230233205	0.44975	0.44925
PCDHAC1	CATSPER1	chr5	140924299	140928299	chr11	66024479	66028479	0.869	0.907	0.23605029661919824	0.16252109439092977	0.52475	0.51975
PCDHAC2	ACKR3	chr5	140964470	140968470	chr2	236565787	236569787	0.496	0.492	1.0778001674432742	1.0464834581262168	0.535	0.53275
RBM27	RPTOR	chr5	146201605	146205605	chr17	80542819	80546819	0.234	0.205	1.1762215278609083	1.2005304024848058	0.4715	0.472
DPYSL3	AGPAT1	chr5	147508068	147512068	chr6	32176096	32180096	0.391	0.367	1.8524257034334102	1.8736559313815673	0.505	0.506
ADRB2	SP6	chr5	148824611	148828611	chr17	47853874	47857874	0.901	0.873	0.4173770183130411	0.4023267367066116	0.49325	0.49275
CAMK2A	YWHAG	chr5	150288093	150292093	chr7	76356991	76360991	0.187	0.204	2.79707078233841	2.7446973538137422	0.54075	0.538
GRIA1	PTPRZ1	chr5	153487615	153491615	chr7	121871089	121875089	0.448	0.497	1.8902561009127683	1.8522164091478241	0.458	0.45125
GALNT10	TBC1D26	chr5	154188730	154192730	chr17	15730247	15734247	0.683	0.688	0.8698012109665973	0.8662613397247455	0.575	0.56975
CYFIP2	UBA52	chr5	157264079	157268079	chr19	18569730	18573730	0.274	0.293	2.1515782125693867	2.180392565963024	0.54075	0.54225
GABRB2	OGDH	chr5	161547044	161551044	chr7	44604572	44608572	0.426	0.415	1.8767615232789243	1.8851768319345237	0.519	0.51675
GABRA1	ADD3	chr5	161845063	161849063	chr10	109994368	109998368	0.282	0.395	1.9227944622673705	1.8551822499441755	0.4055	0.3955
GABRG2	MYBPC1	chr5	161998057	162002057	chr12	101566353	101570353	0.428	0.433	1.3279063112712968	1.4626540064156035	0.3715	0.37675
CCNG1	YKT6	chr5	163435569	163439569	chr7	44198959	44202959	0.648	0.636	1.77572692378081	1.7939774680570226	0.44975	0.44775
NUDCD2	NPL	chr5	163458404	163462404	chr1	182787293	182791293	1.181	1.182	1.0610338165264588	1.032411635990777	0.45625	0.45875
RANBP17	GXYLT2	chr5	170859870	170863870	chr3	72886046	72890046	1.38	1.399	0.5066822316926143	0.5369357613189268	0.48325	0.486
CPEB4	SRP54	chr5	173886349	173890349	chr14	34979957	34983957	0.287	0.304	1.5569895898948358	1.5620334001236438	0.47975	0.484
DRD1	PAXIP1	chr5	175442182	175446182	chr7	155001124	155005124	0.252	0.275	1.5124095406385925	1.5381588447830807	0.58475	0.58725
TSPAN17	NECAB3	chr5	176645387	176649387	chr20	33672463	33676463	1.099	1.098	1.580674129529291	1.611668088572636	0.60325	0.60775
UIMC1	ADAM9	chr5	177020633	177024633	chr8	38994754	38998754	0.566	0.575	1.453124087458444	1.479002014468183	0.502	0.5035
NSD1	SOBP	chr5	177129830	177133830	chr6	107488106	107492106	0.144	0.191	1.424450393485434	1.4178385710090708	0.62825	0.6075
ELOVL2	LDHD	chr6	11042305	11046305	chr16	75114780	75118780	1.336	1.313	1.428695126021881	1.4095003031073332	0.53925	0.53675
JARID2	ABL1	chr6	15244069	15248069	chr9	130711043	130715043	0.202	0.19	1.6444041202839716	1.619728647772355	0.51725	0.51675
NHLRC1	ERICH5	chr6	18120677	18124677	chr8	98062522	98066522	1.133	1.148	0.6918865342606665	0.6662333495394958	0.4915	0.491
KDM1B	CFAP74	chr6	18153329	18157329	chr1	2001837	2005837	0.761	0.799	1.0858041479561256	1.0504570947857301	0.493	0.4915
ALDH5A1	ID3	chr6	24492867	24496867	chr1	23557501	23561501	0.852	0.865	1.678756856852534	1.654904890702411	0.51075	0.5105
HLA-G	SIGLEC5	chr6	29824967	29828967	chr19	51628401	51632401	1.141	1.157	0.24060989551859674	0.24027885324926332	0.51375	0.5095
HLA-A	NDUFB7	chr6	29939260	29943260	chr19	14570066	14574066	1.976	1.945	2.479808445156176	2.433867399257333	0.50325	0.5155
HLA-B	NDUFA4	chr6	31365067	31369067	chr7	10938153	10942153	1.853	1.689	2.6910222258994425	2.5359697262038807	0.42925	0.4255
C4B	SHE	chr6	32012795	32016795	chr1	154500412	154504412	0.413	0.393	0.5085175989561627	0.5291235191060338	0.565	0.566
HLA-DPB1	NDUFB3	chr6	33073936	33077936	chr2	201069433	201073433	1.473	1.457	1.8024781677110926	1.915600841176939	0.407	0.41925
SYNGAP1	ELAVL1	chr6	33417661	33421661	chr19	8003659	8007659	0.127	0.158	1.5130803626454374	1.5442032750041021	0.551	0.55325
LRFN2	SNX33	chr6	40585364	40589364	chr15	75645912	75649912	0.731	0.731	1.0134443907122084	1.0126617849008928	0.589	0.5845
PPP2R5D	BCL2L1	chr6	42982553	42986553	chr20	31721989	31725989	0.234	0.261	2.0163981369103303	2.0598170293670943	0.55275	0.551
CUL7	LRIG1	chr6	43051943	43055943	chr3	66499263	66503263	0.62	0.646	1.6267990603622158	1.5943196092992726	0.553	0.55475
PTK7	FSTL4	chr6	43074307	43078307	chr5	133610541	133614541	0.422	0.441	0.9160057360028427	0.9457594945248767	0.59425	0.5955
SLC25A27	RNF141	chr6	46650915	46654915	chr11	10539230	10543230	1.084	1.144	2.015351371264929	2.002676112161798	0.4145	0.42925
LRRC1	POFUT1	chr6	53792497	53796497	chr20	32205855	32209855	0.643	0.641	0.9888130384479157	0.9712396560232293	0.54125	0.54725
DST	PPARD	chr6	56952830	56956830	chr6	35340558	35344558	0.297	0.311	1.6537063634934925	1.678736837033605	0.5345	0.5345
KIAA1586	MRPL42	chr6	57044532	57048532	chr12	93465514	93469514	1.362	1.394	1.0068821665041785	0.9665626769415091	0.4345	0.43675
KHDRBS2	SGCD	chr6	62284225	62288225	chr5	155868344	155872344	0.884	0.88	0.9300321251650552	0.8804305585465309	0.41125	0.40225
PHF3	EIF2S1	chr6	63633802	63637802	chr14	67358328	67362328	0.301	0.268	1.3459928694104932	1.3451913474068211	0.472	0.46925
RIMS1	DLST	chr6	71884550	71888550	chr14	74879891	74883891	0.496	0.489	1.9682872384547279	1.9237371137113368	0.51275	0.50825
HTR1B	SYN3	chr6	77461491	77465491	chr22	33056381	33060381	0.719	0.723	0.6170611800476205	0.6298701555310384	0.5465	0.54475
PHIP	ADAM10	chr6	79076287	79080287	chr15	58747791	58751791	0.246	0.276	1.3805350322807963	1.368031999225911	0.49925	0.49825
SYNCRIP	DIDO1	chr6	85642063	85646063	chr20	62935952	62939952	0.249	0.235	1.4546665340886402	1.4396736785086803	0.582	0.5765
ZNF292	MED1	chr6	87149803	87153803	chr17	39449272	39453272	0.161	0.172	1.2237995553975871	1.185048937908208	0.4675	0.4715
CNR1	KIAA1549L	chr6	88164347	88168347	chr11	33374108	33378108	0.694	0.711	1.5427980493667486	1.5196442654090754	0.55125	0.55375
USP45	GFM2	chr6	99519728	99523728	chr5	74765147	74769147	1.09	1.066	1.273128646431102	1.3229363224251016	0.4535	0.4545
GRIK2	OMG	chr6	100960701	100964701	chr17	31295539	31299539	0.477	0.565	1.9844314429446024	1.8002371651987112	0.332	0.33225
HS3ST5	CDH5	chr6	114341023	114345023	chr16	66364690	66368690	0.679	0.661	0.9593605530487925	1.0145814365189405	0.56025	0.5605
FRK	CXCL11	chr6	116058891	116062891	chr4	76039415	76043415	1.016	1.016	0.352678295829289	0.3071964211494126	0.40075	0.40175
NUS1	DDI2	chr6	117673469	117677469	chr1	15615458	15619458	0.182	0.223	1.2137567524064838	1.1512319084299527	0.50775	0.5025
PLN	CSN1S1	chr6	118546296	118550296	chr4	69929068	69933068	1.704	1.815	0.40374490686928116	0.26879623424316285	0.2955	0.3135
MED23	RHOBTB3	chr6	131626242	131630242	chr5	95711522	95715522	0.768	0.771	1.4633972223848581	1.5201204864047129	0.41	0.40775
PEX7	SLC35D1	chr6	136820564	136824564	chr1	67052148	67056148	0.941	0.981	1.0023090744989953	0.9939112695353055	0.48125	0.4815
HIVEP2	EPC1	chr6	142954698	142958698	chr10	32376798	32380798	0.114	0.229	1.5913974385601668	1.560252248092208	0.37725	0.36825
EPM2A	ATP23	chr6	145734023	145738023	chr12	57904039	57908039	1.191	1.16	1.172798436460888	1.1712787680669514	0.45625	0.45425
STXBP5	CUL9	chr6	147202180	147206180	chr6	43180184	43184184	0.344	0.334	1.4339377606468366	1.437450891363128	0.51325	0.50975
SASH1	RAP1A	chr6	148270304	148274304	chr1	111540218	111544218	0.412	0.433	1.6280280602751398	1.6959236263691153	0.42125	0.42225
SYNE1	IFT20	chr6	152635801	152639801	chr17	28333489	28337489	0.564	0.529	1.8174331441113845	1.8297256377655908	0.52975	0.528
ARID1B	CNOT4	chr6	156774020	156778020	chr7	135508145	135512145	0.205	0.236	1.1432428230963505	1.1538697191304348	0.45625	0.458
RPS6KA2	TMOD1	chr6	166904451	166908451	chr9	97499180	97503180	0.624	0.594	1.853912264979761	1.8514943939548654	0.5345	0.53475
DLL1	NFAT5	chr6	170304565	170308565	chr16	69563094	69567094	0.236	0.235	1.1120181736538937	1.0834847030216714	0.53575	0.53725
PRKAR1B	DMTN	chr7	725650	729650	chr8	22046995	22050995	0.686	0.695	2.474838113105411	2.421088719222958	0.6295	0.62625
BRAT1	MRPL20	chr7	2553694	2557694	chr1	1405293	1409293	1.39	1.41	1.8673331127417825	1.8133180641024225	0.5595	0.55375
CARD11	PIK3AP1	chr7	3042228	3046228	chr10	96718514	96722514	0.364	0.34	0.636664386650642	0.6226367101606058	0.549	0.5485
SLC29A4	G3BP1	chr7	5272369	5276369	chr5	151769045	151773045	1.186	1.161	1.3244635450939495	1.306697314517532	0.574	0.56725
ACTB	PEA15	chr7	5561902	5565902	chr1	160203380	160207380	0.193	0.24	3.331338201334893	3.344313661234556	0.5525	0.53925
GRID2IP	SLFN5	chr7	6549461	6553461	chr17	35241071	35245071	0.896	0.888	0.7431803913357314	0.7396237606073442	0.51925	0.5225
COL28A1	P2RY13	chr7	7533873	7537873	chr3	151327549	151331549	1.124	1.133	0.7147160931805674	0.6585942008803531	0.3615	0.35325
ICA1	TACC1	chr7	8260687	8264687	chr8	38726186	38730186	0.75	0.758	1.549874656656962	1.550801732447014	0.48	0.47725
NXPH1	SIPA1L2	chr7	8431609	8435609	chr1	232628571	232632571	0.426	0.412	1.1275259245876943	1.1919202684077972	0.546	0.54725
AGMO	NXPE4	chr7	15560015	15564015	chr11	114593786	114597786	1.561	1.571	0.15431835397597576	0.029288465970858758	0.35875	0.352
NFE2L3	ZNF605	chr7	26150198	26154198	chr12	132954306	132958306	1.802	1.775	1.224773838943306	1.2846382431830425	0.55875	0.56375
PDE1C	COA7	chr7	32426131	32430131	chr1	52696347	52700347	0.843	0.867	1.1545304793731141	1.147314519095743	0.4905	0.49275
ABCA13	CCDC141	chr7	48169458	48173458	chr2	179048137	179052137	1.063	1.052	0.03668409674980092	0.06889166602666827	0.41275	0.4105
DDC	ZNF829	chr7	50563405	50567405	chr19	36914291	36918291	0.922	0.911	0.5609355087533866	0.5450459663524915	0.46	0.4595
ZNF713	PLAGL1	chr7	55885456	55889456	chr6	144062599	144066599	1.016	1.017	0.6145787572304868	0.6308589042925589	0.509	0.5085
KCTD7	MAVS	chr7	66626881	66630881	chr20	3844799	3848799	0.902	0.898	1.3899754219238667	1.3820801098081328	0.55775	0.556
AUTS2	ZNF496	chr7	69596296	69600296	chr1	247329867	247333867	0.232	0.3	1.1675152333957022	1.1435362653250167	0.619	0.62
STX1A	SF3B2	chr7	73717672	73721672	chr11	66048729	66052729	0.257	0.252	2.2012468706807153	2.1869704540422217	0.59825	0.5945
GTF2I	ZNF608	chr7	74648231	74652231	chr5	124746807	124750807	0.195	0.161	1.2100106851496832	1.2167516067018322	0.423	0.41875
GNAI1	RPH3A	chr7	79766028	79770028	chr12	112568380	112572380	0.627	0.639	1.965322609092958	1.996591781590066	0.433	0.428
CACNA2D1	PCGF1	chr7	82441956	82445956	chr2	74505695	74509695	0.437	0.446	1.269898034670856	1.2916840214229417	0.52075	0.52025
PCLO	TPR	chr7	83160930	83164930	chr1	186373693	186377693	0.191	0.203	1.5215146577762	1.5216793063115595	0.4185	0.428
ADAM22	AHSA1	chr7	87932143	87936143	chr14	77455870	77459870	0.518	0.505	1.927565392412919	1.9700003253774394	0.477	0.47375
AKAP9	NEMF	chr7	91938840	91942840	chr14	49850821	49854821	0.662	0.687	1.3663743882455943	1.3547344479358163	0.446	0.4455
PON1	RAB38	chr7	95322532	95326532	chr11	88173443	88177443	1.159	1.189	0.2476438628293628	0.16973290414287726	0.4625	0.459
DLX6	CTPS1	chr7	97003553	97007553	chr1	40977300	40981300	0.379	0.423	1.0312795707639448	1.0558330320209424	0.5605	0.56125
TRRAP	KMT2D	chr7	98875933	98879933	chr12	49058794	49062794	0.115	0.141	1.4114345021650045	1.4532602263340184	0.58375	0.57775
SMURF1	CSRNP1	chr7	99142108	99146108	chr3	39152562	39156562	0.604	0.614	1.2001196780753127	1.2349422589255483	0.5965	0.59675
AZGP1	NHLRC3	chr7	99974042	99978042	chr13	39036306	39040306	1.141	1.154	1.2741231967257753	1.2861464695863911	0.464	0.469
TAF6	NAE1	chr7	100117841	100121841	chr16	66871256	66875256	0.827	0.847	1.6938227644636723	1.7068073623324596	0.5135	0.5155
GIGYF1	ATP13A2	chr7	100692250	100696250	chr1	17009928	17013928	0.735	0.713	2.0844082467439025	2.0738759138508596	0.582	0.588
ACHE	PPP1CA	chr7	100894974	100898974	chr11	67419183	67423183	0.546	0.554	1.8583693421987477	1.8550124861895667	0.635	0.62975
MUC12	KLHL40	chr7	100967565	100971565	chr3	42683537	42687537	1.115	1.128	0.11024011406901517	0.07098525773938745	0.56725	0.56775
SERPINE1	CPSF2	chr7	101125104	101129104	chr14	92119969	92123969	0.685	0.651	0.859664777855454	0.8506492978978094	0.52925	0.52825
CUX1	ZBTB46	chr7	101813904	101817904	chr20	63830038	63834038	0.277	0.379	1.6070376855884239	1.648359035037179	0.70575	0.70925
RELN	BRD2	chr7	103987658	103991658	chr6	32966594	32970594	0.276	0.28	2.2101793520405595	2.2277453431689676	0.5335	0.54225
KMT2E	BAZ2A	chr7	104938943	104942943	chr12	56634816	56638816	0.217	0.226	1.7574476551383187	1.7165633892933032	0.5245	0.522
PIK3CG	ABCB4	chr7	106863278	106867278	chr7	87478435	87482435	0.656	0.623	0.15927054460233145	0.09023335636094966	0.3825	0.37725
LAMB1	FAM171A2	chr7	108001213	108005213	chr17	44361853	44365853	0.601	0.599	1.5654617387033813	1.5562228728128196	0.57175	0.57175
NRCAM	TCF25	chr7	108454717	108458717	chr16	89871570	89875570	0.652	0.672	1.9963925750805698	1.9441444817349935	0.5885	0.5825
IMMP2L	SCGB1D2	chr7	111560517	111564517	chr11	62240239	62244239	1.758	1.705	0.5632971239115789	0.6193104235989729	0.48375	0.483
