ndd_gene	matched_hk_gene	ndd_gc	hk_gc	ndd_genedens	hk_genedens	ndd_recomb	hk_recomb	ndd_alu_density	hk_alu_density
SRRM2	LENG8	0.566	0.541	40.0	38.0	3.045	3.127	1.0	0.75
CREBBP	ATP5ME	0.618	0.612	16.0	17.0	1.584	2.001	0.25	0.75
ROGDI	EGLN2	0.602	0.606	27.0	28.0	1.387	1.19	0.0	0.5
RBFOX1	MRPS6	0.599	0.582	12.0	12.0	1.755	1.421	0.0	0.25
ABAT	LRRC47	0.543	0.542	8.0	10.0	2.438	2.074	0.25	1.25
USP7	TMEM230	0.448	0.451	8.0	8.0	2.353	2.476	1.0	1.0
GRIN2A	NME2	0.579	0.584	2.0	10.0	1.196	0.772	0.25	1.0
MRTFB	ACP1	0.533	0.537	1.0	4.0	0.93	1.044	0.5	0.0
SYT17	MRGBP	0.575	0.636	12.0	20.0	5.509	5.379	0.75	0.5
DNAH3	PARP1	0.5	0.502	13.0	13.0	0.611	0.653	0.25	1.0
PRKCB	TADA2B	0.588	0.598	11.0	13.0	0.557	0.736	0.0	0.5
CLN3	UBE2M	0.6	0.604	25.0	24.0	0.129	0.11	0.25	0.0
PRRT2	RPLP2	0.63	0.628	39.0	39.0	0.575	0.831	0.0	1.0
SEZ6L2	GAPDH	0.628	0.623	44.0	42.0	0.491	0.568	0.0	0.0
KCTD13	DNASE2	0.528	0.533	44.0	44.0	0.401	0.265	0.75	2.25
TAOK2	ZFPL1	0.528	0.524	43.0	41.0	0.06	0.179	0.0	0.25
MAPK3	RAB1B	0.584	0.592	49.0	47.0	0.574	0.627	1.25	0.5
CORO1A	LRCH4	0.599	0.602	50.0	46.0	0.669	0.7	0.75	0.75
SRCAP	SART1	0.544	0.545	45.0	43.0	0.094	0.158	1.0	1.0
SETD1A	MUS81	0.583	0.588	43.0	43.0	0.113	0.315	0.75	0.0
STX1B	BCL7C	0.584	0.577	46.0	45.0	0.105	0.218	0.75	0.0
BCKDK	CFL1	0.601	0.606	41.0	43.0	0.422	0.323	1.0	0.0
GNAO1	CDC23	0.472	0.467	18.0	18.0	0.062	0.043	0.25	1.5
CNOT1	DYNLT1	0.512	0.514	8.0	8.0	0.676	0.588	0.75	0.5
CDH8	PRPF40A	0.518	0.519	0.0	2.0	0.342	0.329	0.0	0.0
CDH11	ZNF330	0.4	0.41	0.0	3.0	0.858	0.991	0.0	0.0
CTCF	TSC22D4	0.586	0.595	47.0	47.0	0.273	0.206	0.25	1.75
TERF2	CYB5B	0.456	0.447	19.0	19.0	0.648	0.645	1.5	2.0
SF3B3	RPN2	0.498	0.496	13.0	12.0	0.056	0.066	1.75	1.25
HYDIN	WDR75	0.422	0.425	11.0	11.0	0.13	0.09	0.0	0.25
CNTNAP4	RTRAF	0.4	0.422	1.0	4.0	1.764	1.54	0.25	0.25
WWOX	CCDC50	0.51	0.505	3.0	4.0	0.679	0.74	1.25	0.25
CMIP	ZYX	0.63	0.624	12.0	22.0	3.638	3.38	0.0	0.0
CDH13	PDIA6	0.532	0.49	1.0	6.0	5.708	4.435	0.0	0.5
TAF1C	RPL38	0.523	0.523	15.0	13.0	3.684	3.686	1.5	0.75
SLC7A5	DEXI	0.595	0.552	7.0	12.0	4.094	3.146	0.25	0.0
ANKRD11	CDK2AP1	0.6	0.609	22.0	21.0	0.145	0.121	0.5	1.0
CHMP1A	UBE2G1	0.602	0.586	24.0	24.0	0.838	0.586	1.5	1.75
YWHAE	B4GALT7	0.542	0.542	19.0	20.0	0.294	0.396	1.5	0.75
SMG6	DCAF12	0.53	0.53	15.0	14.0	0.408	0.542	1.5	1.25
MNT	ITPK1	0.644	0.631	13.0	12.0	1.284	0.953	0.0	1.0
P2RX5-TAX1BP3	P2RX5-TAX1BP3	0.575	0.575	26.0	26.0	1.885	1.885	0.5	0.5
P2RX5	EMC6	0.578	0.578	26.0	26.0	1.885	1.722	0.5	0.75
CAMTA2	TAPBP	0.591	0.594	40.0	39.0	0.293	0.272	0.25	0.0
DLG4	EDF1	0.586	0.577	63.0	61.0	0.638	0.557	0.0	1.5
NLGN2	TMEM256	0.621	0.595	65.0	65.0	3.312	3.361	0.0	0.5
KDM6B	RABL6	0.627	0.619	60.0	63.0	1.53	1.126	0.25	0.5
CHD3	C6orf47	0.564	0.56	60.0	64.0	0.404	0.114	0.0	0.25
PER1	PPP1R37	0.546	0.549	36.0	34.0	1.588	1.486	1.25	0.75
MYH10	DCAF15	0.583	0.577	23.0	23.0	1.126	0.871	0.25	0.75
MYH4	SNX12	0.361	0.371	11.0	14.0	0.153	0.26	0.0	0.25
ZNF18	TAX1BP1	0.457	0.462	2.0	3.0	0.146	0.078	0.5	0.75
NCOR1	TRIP4	0.448	0.45	13.0	14.0	0.206	0.201	1.5	1.5
RAI1	TFDP1	0.638	0.62	15.0	15.0	0.408	0.156	0.5	0.0
PHF12	APEH	0.591	0.589	27.0	28.0	0.315	0.131	0.0	0.5
TAOK1	RPS8	0.53	0.526	13.0	13.0	0.175	0.11	1.25	1.5
SLC6A4	ABCB10	0.55	0.556	7.0	7.0	0.77	0.802	0.25	0.75
RNF135	C6orf62	0.511	0.514	11.0	11.0	0.759	0.774	1.25	0.5
NF1	PRELID3B	0.515	0.509	10.0	10.0	0.447	0.423	0.5	0.25
PSMD11	CMPK1	0.514	0.518	9.0	9.0	0.064	0.053	0.25	1.0
GGNBP2	GUK1	0.56	0.568	17.0	17.0	0.077	0.096	0.75	1.25
PPP1R1B	CTDSP2	0.624	0.619	28.0	28.0	0.15	0.261	0.0	0.25
THRA	FBL	0.516	0.506	29.0	27.0	1.467	1.309	0.75	0.25
NR1D1	MTFR1L	0.565	0.57	30.0	26.0	1.556	1.442	0.75	0.25
KRT26	TAF7	0.378	0.421	50.0	56.0	1.212	0.56	0.5	0.25
SLC25A39	PFKL	0.625	0.617	26.0	28.0	2.12	2.343	1.25	0.75
GRN	DDX17	0.542	0.544	26.0	22.0	1.717	1.778	0.75	0.75
GFAP	CRTC3	0.556	0.555	22.0	21.0	0.538	0.53	1.0	0.75
KANSL1	ARF4	0.484	0.482	9.0	9.0	0.074	0.024	0.75	0.75
GOSR2	NPEPL1	0.43	0.432	12.0	13.0	0.547	0.404	0.0	0.5
ITGB3	LAMP1	0.54	0.532	13.0	14.0	2.235	2.379	0.5	0.5
PNPO	GABARAPL2	0.519	0.52	17.0	18.0	0.285	0.228	0.75	0.5
PHB1	TIMM17A	0.474	0.469	15.0	14.0	2.049	2.191	0.75	1.0
SLC35B1	TRPC4AP	0.498	0.496	19.0	19.0	0.193	0.196	0.0	1.0
DLX3	MRPS26	0.602	0.61	22.0	21.0	3.266	3.056	0.0	0.25
PDK2	PEA15	0.538	0.539	24.0	27.0	3.398	3.716	0.5	0.25
PPP1R9B	RPL22	0.66	0.643	25.0	20.0	2.16	1.996	0.0	0.25
CACNA1G	APRT	0.67	0.64	22.0	19.0	2.363	2.162	0.0	0.25
VEZF1	ELK1	0.536	0.528	16.0	15.0	2.158	1.833	0.0	0.0
TSPOAP1	HEXIM1	0.549	0.556	22.0	23.0	1.117	0.995	0.0	0.0
PPM1D	ARPP19	0.49	0.496	5.0	6.0	0.786	0.937	0.0	1.25
MED13	RPL5	0.472	0.471	6.0	6.0	0.354	0.359	0.0	1.0
TLK2	PNN	0.478	0.476	5.0	5.0	0.344	0.295	2.25	1.0
TANC2	TMEM60	0.503	0.5	3.0	4.0	0.159	0.056	0.0	0.0
ACE	LY6E	0.646	0.634	23.0	25.0	1.609	1.519	0.25	0.0
SCN4A	PTGES2	0.608	0.592	28.0	31.0	1.822	1.923	0.25	0.5
PRKCA	ENO1	0.585	0.554	2.0	7.0	1.698	1.696	0.25	1.0
PSMD12	TOMM20	0.474	0.472	6.0	6.0	1.313	1.372	1.0	1.0
ABCA10	TMED7	0.31	0.387	5.0	12.0	0.66	0.313	0.25	0.5
TNRC6C	KCMF1	0.593	0.571	10.0	9.0	0.274	0.204	0.0	0.0
DNAH17	FURIN	0.477	0.489	18.0	12.0	7.095	5.486	0.5	0.25
SLC38A10	POLR2J	0.538	0.533	21.0	20.0	0.763	0.731	1.25	1.25
DLGAP1	CREG1	0.534	0.486	0.0	9.0	4.684	4.53	0.25	0.25
LAMA1	RPL30	0.55	0.482	3.0	8.0	4.863	4.658	0.75	1.0
MIB1	BMI1	0.554	0.554	5.0	6.0	0.163	0.163	0.5	0.0
ASXL3	COMMD6	0.474	0.476	1.0	3.0	0.239	0.398	0.0	0.25
ELP2	SLC39A6	0.514	0.513	5.0	5.0	0.552	0.553	0.75	0.75
CELF4	USP22	0.577	0.555	0.0	6.0	0.632	0.514	0.0	0.5
RIT2	ZRANB2	0.368	0.399	1.0	1.0	0.245	0.141	0.0	0.0
SETBP1	TOP1	0.548	0.53	0.0	5.0	1.446	0.949	0.0	0.5
KATNAL2	RUVBL1	0.516	0.51	8.0	7.0	0.032	0.061	0.75	0.5
MBD1	TSR1	0.588	0.595	7.0	13.0	0.731	0.872	0.0	0.0
SMAD4	MCMBP	0.483	0.478	6.0	5.0	0.098	0.057	0.0	0.75
DCC	COA5	0.494	0.504	0.0	5.0	0.622	0.459	0.0	0.0
TCF4	RPS24	0.465	0.467	0.0	3.0	0.054	0.127	1.0	1.25
TSHZ1	PSMG3	0.61	0.543	2.0	9.0	3.932	2.903	0.0	1.25
HCN2	CDC34	0.725	0.666	35.0	33.0	6.628	5.915	0.25	0.5
ABCA7	RPL28	0.596	0.598	46.0	49.0	1.854	1.938	0.25	0.0
MBD3	MRPL41	0.623	0.628	35.0	35.0	2.242	1.86	1.0	0.75
KLF16	MAZ	0.717	0.69	39.0	39.0	0.534	0.606	0.0	0.0
DOT1L	TRIM28	0.61	0.612	27.0	24.0	0.219	0.187	1.5	0.75
SEMA6B	RNF126	0.628	0.639	28.0	36.0	3.893	3.826	0.5	0.75
KDM4B	LRRC42	0.585	0.581	16.0	14.0	1.034	1.26	0.5	0.5
ZNF559	RANGAP1	0.521	0.513	21.0	20.0	0.065	0.133	1.0	1.75
ZNF559-ZNF177	PHF5A	0.492	0.492	21.0	21.0	0.064	0.085	1.25	1.0
EIF3G	CCDC124	0.532	0.536	36.0	34.0	3.197	2.823	2.5	1.5
SMARCA4	CDK2AP2	0.575	0.573	30.0	29.0	0.127	0.223	1.25	0.25
ELAVL3	NR2F6	0.686	0.675	31.0	30.0	0.952	0.776	0.0	0.5
NACC1	KEAP1	0.575	0.582	35.0	38.0	2.15	1.93	0.5	1.75
CACNA1A	RPS14	0.48	0.483	20.0	19.0	2.351	2.444	0.75	1.0
CC2D1A	PAM16	0.546	0.55	21.0	24.0	2.417	2.533	1.75	1.75
BRD4	TOLLIP	0.604	0.591	26.0	24.0	0.134	0.197	1.5	0.0
SIN3B	KHDRBS1	0.521	0.523	26.0	25.0	0.678	0.553	1.25	0.75
MYO9B	PRPF6	0.592	0.598	34.0	33.0	1.976	2.18	0.25	0.25
UNC13A	CIRBP	0.585	0.606	39.0	42.0	4.812	4.946	0.75	0.0
ZNF626	SENP2	0.462	0.464	8.0	7.0	0.597	0.648	1.0	1.75
TSHZ3	BRD3	0.651	0.642	0.0	7.0	1.065	1.444	0.0	0.25
SCN1B	LMF2	0.604	0.618	27.0	31.0	2.761	2.883	0.75	0.0
FAM98C	USE1	0.557	0.562	28.0	30.0	1.12	0.983	1.75	1.25
ACTN4	ZNF251	0.543	0.536	34.0	35.0	0.28	0.257	1.25	0.75
CAPN12	SLC25A11	0.562	0.564	36.0	36.0	0.729	0.618	0.75	0.25
ATP1A3	RIC8A	0.627	0.622	32.0	30.0	0.529	0.65	0.0	0.25
GRIK5	RPL8	0.607	0.614	32.0	32.0	0.063	0.257	0.25	0.25
CIC	MRPL34	0.562	0.571	30.0	31.0	0.328	0.347	0.75	1.5
PLAUR	RPS9	0.512	0.5	35.0	33.0	4.856	4.733	1.0	1.25
DMPK	BAD	0.619	0.622	34.0	32.0	0.175	0.248	0.0	1.0
DMWD	MRPL38	0.56	0.555	34.0	35.0	0.154	0.141	1.0	1.25
PPP5C	NMT1	0.528	0.518	25.0	23.0	1.541	1.451	0.75	0.75
PRKD2	UQCRH	0.597	0.594	20.0	19.0	0.34	0.288	0.0	0.75
AP2S1	C19orf53	0.526	0.506	23.0	20.0	3.612	3.118	1.75	1.75
SAE1	ARFGAP2	0.588	0.584	24.0	23.0	0.365	0.199	1.0	0.0
ZC3H4	CHMP2A	0.58	0.575	24.0	24.0	0.341	0.134	1.75	0.5
BICRA	RHEB	0.602	0.591	23.0	22.0	0.523	0.361	1.0	0.5
GRIN2D	KDELR1	0.634	0.635	36.0	36.0	1.151	1.151	0.0	0.0
LIN7B	CTDNEP1	0.569	0.554	59.0	63.0	1.503	0.827	1.5	0.25
PRR12	NOSIP	0.611	0.604	46.0	46.0	0.793	0.785	0.5	0.5
SCAF1	MRPL20	0.548	0.554	43.0	43.0	0.954	1.054	0.5	2.25
PNKP	TALDO1	0.568	0.568	42.0	43.0	1.216	1.13	0.25	0.75
SHANK1	NFIC	0.668	0.596	37.0	29.0	5.936	4.741	0.0	0.5
ETFB	BTBD2	0.602	0.578	37.0	32.0	4.392	4.424	0.25	1.75
CNOT3	UBE2I	0.601	0.574	32.0	30.0	2.632	2.748	0.25	1.75
MBOAT7	R3HDM4	0.646	0.636	33.0	44.0	4.072	3.6	0.5	1.25
LILRB2	RPL18A	0.541	0.542	36.0	35.0	5.808	4.671	0.0	1.0
ZNF865	RPS2	0.566	0.58	46.0	46.0	2.505	2.498	1.0	0.75
ZNF548	ZMAT2	0.428	0.459	41.0	44.0	0.33	0.112	0.25	0.25
SNTG2	SNX19	0.534	0.538	2.0	3.0	0.707	0.617	0.0	0.0
TPO	LCMT1	0.462	0.473	2.0	4.0	1.821	1.668	0.25	0.75
PXDN	PCGF3	0.623	0.674	1.0	17.0	2.376	2.108	0.0	0.0
MYT1L	EIF3H	0.384	0.435	0.0	4.0	1.895	1.567	0.0	0.5
CMPK2	ARL8B	0.514	0.495	2.0	2.0	3.228	3.171	0.0	1.25
ASAP2	MTCH1	0.563	0.538	7.0	15.0	4.492	3.53	0.0	0.0
KCNS3	ANXA11	0.577	0.567	5.0	10.0	0.71	0.492	0.0	0.5
NCOA1	ZNF777	0.57	0.575	14.0	12.0	1.865	1.933	0.0	0.25
ADCY3	ANP32B	0.618	0.632	7.0	11.0	0.486	0.608	0.5	0.0
DNMT3A	DDX51	0.688	0.637	5.0	10.0	0.831	0.917	0.5	0.0
GALNT14	ZDHHC6	0.459	0.456	5.0	4.0	2.515	2.76	0.5	0.5
MEMO1	PHF10	0.569	0.56	7.0	6.0	0.082	0.125	0.5	0.25
SPAST	MAN1A2	0.514	0.512	7.0	6.0	0.08	0.138	1.25	0.0
BIRC6	XPOT	0.52	0.522	7.0	7.0	0.036	0.128	0.5	1.25
FBXO11	ATE1	0.549	0.542	3.0	5.0	0.247	0.235	0.0	0.5
NRXN1	SH3BGRL	0.392	0.401	0.0	2.0	0.552	0.123	0.25	0.0
SPTBN1	PRADC1	0.584	0.571	5.0	13.0	1.37	1.097	0.0	0.75
BCL11A	BRI3	0.565	0.547	4.0	7.0	1.183	0.624	0.0	1.0
PAPOLG	ERLEC1	0.463	0.467	6.0	6.0	0.219	0.207	1.5	0.5
XPO1	ACTR1B	0.544	0.536	6.0	6.0	0.045	0.098	0.5	0.75
CCT4	C6orf120	0.5	0.505	5.0	6.0	0.253	0.182	1.25	0.0
OTX1	PLCG1	0.603	0.614	1.0	6.0	0.095	0.067	0.0	0.0
EXOC6B	CLNS1A	0.489	0.494	10.0	10.0	0.137	0.08	0.75	1.0
RAB11FIP5	CHMP4B	0.502	0.507	12.0	12.0	0.746	0.774	0.75	0.75
ST3GAL5	CDKN2AIPNL	0.508	0.505	18.0	17.0	0.439	0.412	0.75	0.75
NPAS2	ADRM1	0.602	0.611	8.0	15.0	0.773	0.73	0.0	0.5
MAP4K4	SLC41A3	0.542	0.54	8.0	8.0	0.873	0.756	0.25	0.25
IL1R2	UBQLN1	0.482	0.485	7.0	7.0	0.558	0.577	0.0	0.0
SH3RF3	MZT2B	0.602	0.621	5.0	12.0	0.351	0.093	0.25	1.0
DPP10	EID1	0.356	0.406	0.0	6.0	1.786	0.988	0.0	0.0
CLASP1	BMS1	0.483	0.486	3.0	4.0	0.115	0.18	0.25	0.25
CNTNAP5	RPLP1	0.476	0.483	0.0	4.0	0.575	0.403	0.0	0.75
NCKAP5	HPF1	0.419	0.444	0.0	5.0	2.252	1.911	0.0	0.25
MCM6	SNX3	0.506	0.507	6.0	6.0	0.186	0.098	1.25	1.25
MBD5	LONP2	0.465	0.471	2.0	4.0	0.063	0.217	0.25	0.5
EPC2	ZNF706	0.53	0.529	2.0	3.0	0.329	0.516	0.0	0.25
KIF5C	RALBP1	0.566	0.535	3.0	7.0	1.323	1.15	0.25	0.25
GALNT13	ADO	0.55	0.54	1.0	4.0	0.495	0.518	0.0	0.25
NR4A2	KIF5B	0.487	0.486	1.0	3.0	0.286	0.233	0.0	0.25
GPD2	RAD23B	0.519	0.519	1.0	2.0	0.142	0.271	0.25	0.25
ERMN	UBC	0.408	0.433	3.0	6.0	2.767	3.064	0.25	1.0
BAZ2B	SECISBP2L	0.424	0.429	6.0	7.0	0.039	0.12	0.0	0.0
TBR1	PGRMC2	0.531	0.528	3.0	4.0	0.39	0.235	0.0	0.0
SLC4A10	ATP5PF	0.484	0.483	3.0	4.0	0.394	0.282	0.0	0.0
DPP4	SEC61B	0.497	0.501	4.0	5.0	1.052	1.243	0.0	0.5
SCN2A	RPL4	0.376	0.396	4.0	8.0	0.881	0.573	0.0	1.0
SCN3A	ATF6	0.348	0.404	4.0	15.0	0.823	0.73	0.0	0.75
SCN1A	KTN1	0.43	0.439	4.0	5.0	0.731	0.734	0.0	0.5
SCN9A	MRPL3	0.445	0.441	3.0	3.0	0.7	0.648	0.0	0.25
STK39	TSN	0.526	0.527	1.0	3.0	0.494	0.616	0.0	0.5
LRP2	GID8	0.572	0.571	15.0	16.0	0.963	0.845	0.0	1.0
UBR3	IWS1	0.505	0.5	12.0	12.0	0.357	0.266	1.0	0.25
SLC25A12	PRKAA1	0.463	0.464	7.0	7.0	0.216	0.249	1.0	0.0
DLX2	CDV3	0.546	0.532	7.0	6.0	2.778	2.923	0.25	0.5
RAPGEF4	WSB1	0.503	0.504	2.0	3.0	1.452	1.306	0.0	1.0
TTN	C6orf89	0.359	0.396	6.0	17.0	0.579	0.389	0.25	0.5
ZNF385B	ZNF32	0.505	0.515	1.0	6.0	1.185	1.279	0.0	0.75
NCKAP1	MBD2	0.505	0.506	4.0	5.0	0.342	0.387	0.5	0.5
ZNF804A	PANK3	0.479	0.486	0.0	3.0	0.253	0.238	0.0	0.5
INPP1	RPS27A	0.478	0.474	6.0	7.0	0.553	0.441	0.25	0.75
HECW2	VPS26C	0.528	0.528	5.0	5.0	0.428	0.477	0.5	0.5
SF3B1	COA4	0.449	0.451	10.0	11.0	0.041	0.084	0.75	0.75
SATB2	FAM8A1	0.524	0.529	4.0	5.0	0.419	0.492	0.5	0.75
PARD3B	RDH14	0.509	0.503	0.0	2.0	2.088	2.531	0.0	0.0
NRP2	SAMM50	0.501	0.482	3.0	7.0	3.465	3.333	0.0	0.25
UNC80	SRP19	0.454	0.456	4.0	5.0	0.261	0.213	0.25	0.5
VIL1	CUEDC2	0.54	0.534	24.0	24.0	1.071	0.998	1.25	1.0
PLCD4	INO80B-WBP1	0.452	0.448	27.0	28.0	0.061	0.078	0.5	0.25
RNF25	SELENOH	0.5	0.498	28.0	29.0	0.148	0.026	0.75	0.75
CUL3	KCTD9	0.509	0.518	3.0	3.0	0.201	0.078	0.0	0.0
DNER	TMSB10	0.566	0.558	5.0	8.0	2.62	1.934	0.0	0.75
TRIP12	AKAP10	0.526	0.526	7.0	7.0	0.104	0.088	1.0	0.75
GIGYF2	FAM168A	0.509	0.514	15.0	13.0	2.398	2.411	0.75	0.75
SPP2	EMC7	0.408	0.441	15.0	11.0	2.95	3.668	0.0	0.5
AGAP1	PSMA7	0.642	0.626	0.0	13.0	2.103	1.153	0.0	0.0
PER2	RNF187	0.586	0.586	12.0	14.0	0.584	0.494	0.25	0.75
HDAC4	OPTN	0.584	0.539	0.0	7.0	2.556	1.934	0.0	0.75
KIF1A	PNRC2	0.466	0.456	18.0	18.0	0.591	0.507	0.0	1.0
HDLBP	CFDP1	0.518	0.511	20.0	20.0	0.135	0.119	0.25	1.0
PDCD1	CENPB	0.64	0.572	11.0	15.0	3.317	2.811	0.0	0.25
CSNK2A1	CCZ1	0.512	0.501	21.0	16.0	3.456	3.333	0.25	1.75
RAD21L1	FOXJ2	0.54	0.546	17.0	16.0	2.959	3.445	0.5	1.0
OXT	TPM4	0.569	0.536	21.0	20.0	4.842	4.187	1.25	0.5
ITPA	CRK	0.533	0.534	20.0	19.0	2.033	1.794	1.5	2.0
PLCB1	MCM3	0.372	0.414	2.0	8.0	1.383	0.892	0.0	0.0
SNAP25	FUBP3	0.499	0.504	6.0	10.0	3.629	3.383	0.0	0.5
MACROD2	ACTR2	0.485	0.486	5.0	5.0	0.097	0.217	0.25	0.75
SNX5	LSM10	0.484	0.495	11.0	13.0	1.638	1.607	0.0	1.5
NINL	PDS5A	0.538	0.535	6.0	6.0	0.101	0.236	1.25	0.75
DUSP15	RPL7A	0.57	0.576	24.0	26.0	0.61	0.629	0.75	0.25
TM9SF4	PPIH	0.46	0.459	17.0	17.0	0.375	0.267	0.25	0.25
RALGAPB	KPNA1	0.494	0.488	13.0	13.0	0.131	0.11	0.5	0.75
PTPRT	TOR1B	0.614	0.56	7.0	12.0	3.255	2.208	0.0	1.5
ADA	OVCA2	0.568	0.574	19.0	20.0	2.839	2.868	1.25	0.25
SLC12A5	ZC3H3	0.544	0.55	32.0	32.0	0.703	0.721	0.5	1.0
CDH22	ARHGAP35	0.626	0.588	24.0	23.0	4.095	3.29	0.25	0.25
ZMYND8	RAB4A	0.506	0.512	3.0	6.0	1.583	1.806	0.0	0.25
PREX1	MPRIP	0.594	0.577	5.0	12.0	1.001	0.367	0.25	0.25
KCNB1	LASP1	0.594	0.576	10.0	18.0	2.344	2.336	0.25	0.0
ADNP	LSM14A	0.541	0.535	7.0	7.0	1.833	1.99	0.0	0.75
BCAS1	STX8	0.47	0.476	4.0	6.0	2.522	2.896	0.25	0.75
GNAS	EIF3B	0.568	0.556	12.0	12.0	1.155	1.106	0.5	1.5
TAF4	PHF13	0.704	0.66	12.0	19.0	1.959	0.972	0.0	0.25
CHRNA4	SF3A2	0.603	0.584	30.0	29.0	2.581	1.962	0.0	1.25
KCNQ2	PRPSAP1	0.682	0.695	30.0	33.0	1.914	1.505	0.0	0.0
EEF1A2	MOB3A	0.683	0.642	32.0	30.0	3.023	2.802	0.0	0.5
SOD1	BCCIP	0.509	0.51	3.0	6.0	0.307	0.256	0.75	0.5
SCAF4	PTPN12	0.568	0.558	3.0	7.0	0.439	0.188	0.0	0.75
SYNJ1	FAM168B	0.506	0.503	12.0	12.0	0.085	0.044	0.5	1.0
SON	RAMAC	0.471	0.47	14.0	13.0	0.106	0.136	0.25	1.25
ITSN1	MAEA	0.528	0.526	16.0	16.0	0.185	0.196	0.0	0.25
DYRK1A	RHOC	0.557	0.551	5.0	10.0	1.791	1.644	0.0	0.5
KCNJ15	MRPS30	0.413	0.411	1.0	1.0	0.156	0.048	0.5	0.0
ERG	REEP5	0.511	0.526	1.0	4.0	1.072	0.808	0.0	0.25
HMGN1	NFYB	0.538	0.54	8.0	9.0	0.371	0.273	0.25	0.5
DSCAM	CD99	0.508	0.568	2.0	8.0	6.266	7.791	0.0	0.5
ZBTB21	POLE3	0.577	0.501	13.0	15.0	5.944	4.932	0.5	0.75
CSTB	UBE2F-SCLY	0.588	0.58	13.0	16.0	1.071	1.344	1.25	0.5
DIP2A	RALY	0.575	0.567	12.0	12.0	0.118	0.099	0.75	0.25
CECR2	BLOC1S4	0.467	0.479	9.0	13.0	5.583	4.42	2.75	0.75
PRODH	MRPL43	0.555	0.552	14.0	15.0	2.562	2.525	1.0	0.0
CLTCL1	CAP1	0.522	0.517	19.0	20.0	0.349	0.473	0.25	0.5
GNB1L	CCDC9	0.596	0.583	22.0	20.0	1.795	1.921	0.25	1.75
LZTR1	BSG	0.581	0.596	17.0	35.0	6.917	7.021	0.0	1.25
TOP3B	HSBP1	0.491	0.488	10.0	9.0	2.484	2.696	1.25	0.25
SPECC1L-ADORA2A	COX5A	0.52	0.524	21.0	22.0	0.357	0.402	1.0	1.5
ADORA2A	CCDC12	0.576	0.574	18.0	18.0	0.076	0.084	0.25	0.5
PRR14L	TMEM50A	0.497	0.497	12.0	11.0	0.096	0.137	1.0	0.25
DEPDC5	VPS36	0.492	0.493	12.0	11.0	0.1	0.047	1.0	0.75
MYH9	NCL	0.573	0.556	12.0	13.0	0.9	1.067	0.5	0.75
CACNG2	SF3A3	0.483	0.464	18.0	16.0	2.318	2.01	0.0	0.75
CSNK1E	MIF	0.591	0.6	25.0	22.0	2.564	2.249	0.25	0.25
TPTEP2-CSNK1E	MLEC	0.553	0.549	24.0	24.0	0.451	0.537	0.0	0.25
CACNA1I	ATF4	0.564	0.558	17.0	18.0	1.023	1.114	0.25	0.25
TNRC6B	BFAR	0.523	0.524	8.0	9.0	0.24	0.253	0.25	1.5
ADSL	PTPN1	0.5	0.5	10.0	10.0	0.497	0.463	1.75	0.5
SGSM3	ADIPOR1	0.492	0.496	13.0	14.0	0.583	0.654	1.25	0.75
EP300	VAMP5	0.543	0.538	18.0	17.0	0.125	0.192	0.25	0.75
TCF20	USB1	0.646	0.64	20.0	17.0	1.065	0.996	0.0	0.0
SBF1	NR1H2	0.63	0.643	31.0	33.0	2.897	2.484	0.5	0.25
SHANK3	SAMD1	0.681	0.656	26.0	29.0	1.757	1.273	0.0	0.0
CNTN6	TBCA	0.362	0.44	0.0	4.0	3.539	3.574	0.0	0.25
CNTN4	YWHAQ	0.542	0.54	0.0	10.0	2.853	2.86	0.0	0.0
ITPR1	MYL12B	0.502	0.5	3.0	5.0	2.175	2.496	0.0	0.5
GRM7	KRCC1	0.419	0.454	0.0	7.0	2.496	2.601	0.0	1.0
OXTR	ABHD4	0.539	0.482	4.0	19.0	6.131	4.548	0.0	0.75
SRGAP3	UBE2D2	0.455	0.454	14.0	15.0	0.87	0.982	1.25	0.25
SETD5	IPO13	0.574	0.566	16.0	16.0	0.196	0.219	0.0	0.25
ATP2B2	UBE2F	0.6	0.58	8.0	16.0	1.524	1.347	0.0	0.5
SLC6A1	TEX261	0.571	0.54	4.0	15.0	6.14	3.483	0.0	0.75
SYN2	ZFP36L1	0.537	0.526	5.0	4.0	0.92	0.742	0.0	0.0
TBC1D5	PARK7	0.568	0.55	1.0	6.0	1.051	0.395	0.0	0.75
SATB1	TECPR1	0.552	0.545	1.0	7.0	1.052	0.624	0.0	0.75
KAT2B	CDS2	0.541	0.52	4.0	8.0	2.471	2.312	0.0	1.0
TOP2B	RRAGC	0.516	0.528	2.0	7.0	1.368	1.252	0.25	1.0
CX3CR1	GRPEL1	0.52	0.526	11.0	12.0	1.135	1.111	0.5	0.5
CTNNB1	SERINC1	0.361	0.408	0.0	4.0	0.4	0.063	0.0	0.75
SETD2	ERP29	0.542	0.54	14.0	13.0	0.016	0.034	0.5	1.0
PLXNB1	VEGFB	0.622	0.63	24.0	30.0	0.085	0.246	0.0	0.5
QRICH1	PRKAR2A	0.548	0.543	34.0	34.0	0.03	0.009	0.5	1.25
GPX1	EIF4EBP3	0.529	0.529	36.0	36.0	0.054	0.043	0.5	1.0
AMT	RANBP10	0.533	0.537	36.0	36.0	0.018	0.02	0.75	1.0
